Extracted word after stopword,Different Meaning,Detection,Definition of the token,Dictionary-NLTK-wordnet
rushed,"('rush', 'hasten', 'hurry', 'look_sharp', 'festinate')",Polysemy,act or move at high speed,rush.v.04
vocabulary,"('vocabulary',)",Not a Polysemy,the system of techniques or symbols serving as a means of expression (as in arts or crafts),vocabulary.n.03
panicking,"('panic',)",Not a Polysemy,cause sudden fear in or fill with sudden panic,panic.v.02
arranged,"('stage', 'arrange')",Polysemy,"plan, organize, and carry out (an event)",stage.v.02
usual,"('usual',)",Not a Polysemy,occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure,usual.a.01
labor,"('undertaking', 'project', 'task', 'labor')",Polysemy,any piece of work that is undertaken or attempted,undertaking.n.01
counting,"('count',)",Not a Polysemy,include as if by counting,count.v.06
camping,"('camp',)",Not a Polysemy,give an artificially banal or sexual quality to,camp.v.03
come,"('come',)",Not a Polysemy,extend or reach,come.v.09
break,"('break', 'break_up')",Polysemy,destroy the completeness of a set of related items,break.v.39
square,"('square',)",Not a Polysemy,be compatible with,square.v.05
fact,"('fact',)",Not a Polysemy,an event known to have happened or something known to have existed,fact.n.03
amazon,"('amazon',)",Not a Polysemy,mainly green tropical American parrots,amazon.n.04
making,"('make', 'pretend', 'make_believe')",Polysemy,"represent fictitiously, as in a play, or pretend to be or act like",make.v.42
individual,"('person', 'individual', 'someone', 'somebody', 'mortal', 'soul')",Polysemy,a human being,person.n.01
amnesty,"('amnesty',)",Not a Polysemy,a period during which offenders are exempt from punishment,amnesty.n.01
remove,"('remove', 'take', 'take_away', 'withdraw')",Polysemy,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract",remove.v.01
guarantee,"('undertake', 'guarantee')",Polysemy,promise to do or accomplish,undertake.v.03
firing,"('displace', 'fire', 'give_notice', 'can', 'dismiss', 'give_the_axe', 'send_away', 'sack', 'force_out', 'give_the_sack', 'terminate')",Polysemy,terminate the employment of; discharge from an office or position,displace.v.03
start,"('start', 'take_up')",Polysemy,"begin work or acting in a certain capacity, office or job",start.v.10
behind,"('behind',)",Not a Polysemy,having the lower score or lagging position in a contest,behind.s.01
closest,"('close', 'faithful')",Polysemy,marked by fidelity to an original,close.s.05
toe,"('toe',)",Not a Polysemy,one of the digits of the foot,toe.n.01
garbage,"('garbage', 'refuse', 'food_waste', 'scraps')",Polysemy,food that is discarded (as from a kitchen),garbage.n.01
seeks,"('seek',)",Not a Polysemy,try to get or reach,seek.v.01
taking,"('take',)",Not a Polysemy,experience or feel or submit to,take.v.15
learnt,"('teach', 'learn', 'instruct')",Polysemy,impart skills or knowledge to,teach.v.01
supports,"('patronize', 'patronise', 'patronage', 'support', 'keep_going')",Polysemy,be a regular customer or client of,patronize.v.04
good,"('good', 'honest')",Polysemy,not forged,good.s.19
liquid,"('liquid',)",Not a Polysemy,smooth and flowing in quality; entirely free of harshness,liquid.s.05
committing,"('commit', 'institutionalize', 'institutionalise', 'send', 'charge')",Polysemy,cause to be admitted; of persons to an institution,commit.v.03
government,"('government', 'governing', 'governance', 'government_activity', 'administration')",Polysemy,the act of governing; exercising authority,government.n.02
clean,"('clean', 'strip')",Polysemy,"remove all contents or possession from, or empty completely",clean.v.07
dragging,"('drag',)",Not a Polysemy,"pull, as against a resistance",drag.v.01
liberty,"('shore_leave', 'liberty')",Polysemy,leave granted to a sailor or naval officer,shore_leave.n.01
addressed,"('cover', 'treat', 'handle', 'plow', 'deal', 'address')",Polysemy,act on verbally or in some form of artistic expression,cover.v.05
gain,"('profit', 'gain', 'benefit')",Polysemy,derive a benefit from,profit.v.01
taking,"('take',)",Not a Polysemy,be seized or affected in a specified way,take.v.29
took,"('accept', 'take')",Polysemy,be designed to hold or take,accept.v.08
negotiated,"('negociate', 'negotiate', 'talk_terms')",Polysemy,discuss the terms of an arrangement,negociate.v.06
finish,"('complete', 'finish')",Polysemy,come or bring to a finish or an end,complete.v.01
word,"('Son', 'Word', 'Logos')",Polysemy,the divine word of God; the second person in the Trinity (incarnate in Jesus),son.n.02
georgia,"('Georgia',)",Not a Polysemy,one of the British colonies that formed the United States,georgia.n.02
enough,"('adequate', 'decent', 'enough')",Polysemy,sufficient for the purpose,adequate.s.02
opposite,"('opposite',)",Not a Polysemy,being directly across from each other; facing; - Longfellow,opposite.s.01
strike,"('strike', 'scratch', 'expunge', 'excise')",Polysemy,remove by erasing or crossing out or as if by drawing a line,strike.v.14
platform,"('platform',)",Not a Polysemy,a raised horizontal surface,platform.n.01
found,"('found',)",Not a Polysemy,come upon unexpectedly or after searching,found.a.01
unimpeded,"('unimpeded',)",Not a Polysemy,not slowed or prevented,unimpeded.s.01
scene,"('view', 'aspect', 'prospect', 'scene', 'vista', 'panorama')",Polysemy,the visual percept of a region,view.n.02
claiming,"('claim',)",Not a Polysemy,assert or affirm strongly; state to be true or existing,claim.v.01
broken,"('break',)",Not a Polysemy,fall sharply,break.v.56
submission,"('submission',)",Not a Polysemy,an agreement between parties in a dispute to abide by the decision of an arbiter,submission.n.06
big,"('big', 'large', 'magnanimous')",Polysemy,generous and understanding and tolerant,big.s.11
grinding,"('grind', 'mash', 'crunch', 'bray', 'comminute')",Polysemy,reduce to small pieces or particles by pounding or abrading,grind.v.05
supplying,"('add', 'append', 'supply')",Polysemy,state or say further,add.v.02
giving,"('yield', 'give', 'afford')",Polysemy,be the cause or source of,yield.v.01
ignore,"('ignore',)",Not a Polysemy,fail to notice,ignore.v.03
count,"('consider', 'count', 'weigh')",Polysemy,show consideration for; take into account,consider.v.04
return,"('return',)",Not a Polysemy,return in kind,return.v.06
prelude,"('prelude',)",Not a Polysemy,serve as a prelude or opening to,prelude.v.01
light,"('light',)",Not a Polysemy,characterized by or emitting light,light.a.06
shade,"('tad', 'shade')",Polysemy,a slight amount or degree of difference,tad.n.01
dump,"('shit', 'dump')",Polysemy,a coarse term for defecation,shit.n.04
hosting,"('host',)",Not a Polysemy,be the host of or for,host.v.01
language,"('speech', 'speech_communication', 'spoken_communication', 'spoken_language', 'language', 'voice_communication', 'oral_communication')",Polysemy,(language) communication by word of mouth,speech.n.02
threat,"('menace', 'threat')",Polysemy,something that is a source of danger,menace.n.01
counting,"('reckon', 'count')",Polysemy,take account of,reckon.v.06
foam,"('foam',)",Not a Polysemy,a lightweight material in cellular form; made by introducing gas bubbles during manufacture,foam.n.02
nurse,"('nanny', 'nursemaid', 'nurse')",Polysemy,a woman who is the custodian of children,nanny.n.01
retreat,"('retreat',)",Not a Polysemy,(military) a signal to begin a withdrawal from a dangerous position,retreat.n.03
giving,"('give',)",Not a Polysemy,propose,give.v.34
met,"('meet', 'fit', 'conform_to')",Polysemy,satisfy a condition or restriction,meet.v.05
disrupted,"('interrupt', 'disrupt', 'break_up', 'cut_off')",Polysemy,make a break in,interrupt.v.01
fighting,"('fight', 'oppose', 'fight_back', 'fight_down', 'defend')",Polysemy,fight against or resist strongly,fight.v.02
quote,"('quote', 'cite')",Polysemy,repeat a passage from,quote.v.01
capital,"('capital',)",Not a Polysemy,wealth in the form of money or property owned by a person or business and human resources of economic value,capital.n.02
mg,"('milligram', 'mg')",Polysemy,"one thousandth (1/1,000) gram",milligram.n.01
held,"('prevail', 'hold', 'obtain')",Polysemy,"be valid, applicable, or true",prevail.v.02
fold,"('congregation', 'fold', 'faithful')",Polysemy,a group of people who adhere to a common faith and habitually attend a given church,congregation.n.01
picked,"('pick', 'pluck', 'cull')",Polysemy,look for and gather,pick.v.02
russias,"('Soviet_Russia', 'Russia', 'Russian_Soviet_Federated_Socialist_Republic')",Polysemy,formerly the largest Soviet Socialist Republic in the USSR occupying eastern Europe and northern Asia,soviet_russia.n.01
playing,"('play', 'run')",Polysemy,cause to emit recorded audio or video,play.v.18
xi,"('xi',)",Not a Polysemy,the 14th letter of the Greek alphabet,xi.n.02
go,"('go',)",Not a Polysemy,be spent,go.v.28
book,"('book',)",Not a Polysemy,a written work or composition that has been published (printed on pages bound together),book.n.01
promote,"('promote', 'upgrade', 'advance', 'kick_upstairs', 'raise', 'elevate')",Polysemy,give a promotion to or assign to a higher position,promote.v.02
attempting,"('try', 'seek', 'attempt', 'essay', 'assay')",Polysemy,make an effort or attempt,try.v.01
carried,"('carry',)",Not a Polysemy,be able to feed,carry.v.34
hybrid,"('hybrid',)",Not a Polysemy,a composite of mixed origin,hybrid.n.02
rebuttal,"('rebutter', 'rebuttal')",Polysemy,(law) a pleading by the defendant in reply to a plaintiff's surrejoinder,rebutter.n.02
played,"('play',)",Not a Polysemy,pretend to be somebody in the framework of a game or playful activity,play.v.12
forget,"('forget', 'bury')",Polysemy,dismiss from the mind; stop remembering,forget.v.01
passing,"('pass', 'clear')",Polysemy,go unchallenged; be approved,pass.v.09
broken,"('break', 'break_out', 'break_away')",Polysemy,move away or escape suddenly,break.v.07
gang,"('gang',)",Not a Polysemy,tool consisting of a combination of implements arranged to work together,gang.n.04
knew,"('know',)",Not a Polysemy,have fixed in the mind,know.v.07
gesture,"('gesture',)",Not a Polysemy,something done as an indication of intention,gesture.n.03
urged,"('cheer', 'root_on', 'inspire', 'urge', 'barrack', 'urge_on', 'exhort', 'pep_up')",Polysemy,spur on or encourage especially by cheers and shouts,cheer.v.05
hunting,"('hunt',)",Not a Polysemy,"oscillate about a desired speed, position, or state to an undesirable extent",hunt.v.05
diplomacy,"('statesmanship', 'statecraft', 'diplomacy')",Polysemy,wisdom in the management of public affairs,statesmanship.n.01
ambition,"('ambition',)",Not a Polysemy,have as one's ambition,ambition.v.01
fault,"('defect', 'fault', 'flaw')",Polysemy,an imperfection in an object or machine,defect.n.03
gotten,"('make', 'get')",Polysemy,give certain properties to something,make.v.02
passing,"('excrete', 'egest', 'eliminate', 'pass')",Polysemy,eliminate from the body,excrete.v.01
operating,"('operational', 'in_operation', 'operating')",Polysemy,being in effect or operation; - Leslie Marmon Silko,operational.s.04
bleeds,"('bleed', 'leech', 'phlebotomize', 'phlebotomise')",Polysemy,draw blood,bleed.v.02
long,"('long',)",Not a Polysemy,involving substantial risk,long.s.07
sheet,"('sheet', 'tack', 'mainsheet', 'weather_sheet', 'shroud')",Polysemy,(nautical) a line (rope or chain) that regulates the angle at which a sail is set in relation to the wind,sheet.n.07
smartest,"('bright', 'smart')",Polysemy,characterized by quickness and ease in learning,bright.s.03
unsupported,"('unsupported',)",Not a Polysemy,not held up or borne,unsupported.a.02
soar,"('soar',)",Not a Polysemy,fly upwards or high in the sky,soar.v.03
clearer,"('clear',)",Not a Polysemy,readily apparent to the mind,clear.a.01
chaotic,"('chaotic', 'disorderly')",Polysemy,completely unordered and unpredictable and confusing,chaotic.s.02
setting,"('determine', 'set')",Polysemy,fix conclusively or authoritatively,determine.v.03
tithe,"('tithe',)",Not a Polysemy,exact a tithe from,tithe.v.01
range,"('image', 'range', 'range_of_a_function')",Polysemy,(mathematics) the set of values of the dependent variable for which a function is defined,image.n.07
stockpile,"('reserve', 'backlog', 'stockpile')",Polysemy,something kept back or saved for future use or a special purpose,reserve.n.02
range,"('range', 'array', 'lay_out', 'set_out')",Polysemy,lay out orderly or logically in a line or as if in a line,range.v.05
gone,"('die', 'decease', 'perish', 'go', 'exit', 'pass_away', 'expire', 'pass', 'kick_the_bucket', ""cash_in_one's_chips"", 'buy_the_farm', 'conk', 'give-up_the_ghost', 'drop_dead', 'pop_off', 'choke', 'croak', 'snuff_it')",Polysemy,pass from physical life and lose all bodily attributes and functions necessary to sustain life,die.v.01
organic,"('organic',)",Not a Polysemy,involving or affecting physiology or bodily organs,organic.a.03
raccoon,"('raccoon',)",Not a Polysemy,the fur of the North American racoon,raccoon.n.01
gather,"('gather', 'gathering')",Polysemy,sewing consisting of small folds or puckers made by pulling tight a thread in a line of stitching,gather.n.01
headed,"('headed',)",Not a Polysemy,having a heading or caption,headed.a.02
said,"('allege', 'aver', 'say')",Polysemy,report or maintain,allege.v.01
tie,"('tie', 'tie_beam')",Polysemy,a horizontal beam used to prevent two other structural members from spreading apart or separating,tie.n.04
